Country,Records,Average_Temperature_C,Total_Rainfall_mm,Average_Humidity_Percent,Average_WindSpeed_kmph
Saudi Arabien,1,45.0,0.0,7.0,24.5
Marrocos,1,40.3,0.0,14.0,16.9
TurkmÃ©nistan,1,37.8,0.0,11.0,22.0
Ð¢ÑƒÑ€Ñ†Ð¸Ñ,1,34.0,0.0,44.0,24.1
Qatar,437,32.18466819221968,0.6599999999999999,40.922196796338675,18.986956521739128
United Arab Emirates,437,32.14370709382151,0.27,44.79405034324943,15.965217391304348
Oman,437,31.630892448512586,3.05,50.58352402745995,14.611899313501143
Cambodia,436,31.60802752293578,60.76,61.846330275229356,13.92316513761468
Djibouti,435,31.322988505747126,10.09,55.770114942528735,16.48919540229885
Inde,1,31.2,0.0,71.0,6.8
Thailand,872,31.034633027522936,192.99,59.17775229357798,9.77993119266055
Myanmar,437,31.01716247139588,169.3,69.57894736842105,11.524027459954233
Bangladesh,436,30.997247706422016,147.21,46.99311926605505,13.938073394495413
Kuwait,437,30.659496567505723,4.37,28.729977116704806,17.56430205949657
Malaysia,437,30.4766590389016,254.6,69.11670480549199,6.4487414187643015
Saudi Arabia,436,30.416743119266055,1.42,20.041284403669724,15.914908256880732
Philippines,436,30.306880733944954,164.59,70.59633027522936,13.877293577981652
India,436,30.18967889908257,18.63,44.81880733944954,10.312844036697246
Sri Lanka,436,30.14724770642202,196.8,73.2362385321101,17.31169724770642
Singapore,437,29.927231121281466,164.94,69.12814645308924,13.49771167048055
Sudan,872,29.838532110091744,15.629999999999999,26.326834862385322,21.42396788990826
Bahrain,437,29.716247139588102,2.1900000000000004,49.963386727688786,19.573455377574373
ç«é¸¡,1,29.7,0.0,24.0,18.4
Brunei Darussalam,437,29.469565217391306,205.32,76.78718535469108,9.429290617848972
Chad,437,29.451487414187643,17.85,39.901601830663616,15.972311212814644
Kosovo,1,29.3,0.27,42.0,9.4
Niger,436,28.998394495412843,7.5200000000000005,40.190366972477065,17.912385321100917
Seychelles Islands,436,28.916284403669724,59.7,74.71100917431193,18.552064220183485
Somalia,436,28.826146788990826,15.68,74.99770642201835,26.920412844036697
Tuvalu,437,28.7929061784897,163.64000000000001,81.2700228832952,18.389016018306638
Pakistan,436,28.392201834862384,32.16,30.96559633027523,9.600917431192661
Palau,436,28.39151376146789,193.85999999999999,80.9862385321101,17.59288990825688
Iraq,437,28.385812356979407,9.28,31.009153318077804,17.705720823798625
Benin,436,28.29334862385321,31.29,80.2408256880734,11.5401376146789
Indonesia,875,28.223657142857142,428.06,74.64342857142857,10.861828571428571
Micronesia,436,28.17155963302752,160.91,83.30733944954129,20.70344036697248
Marshall Islands,437,28.170480549199084,137.17,81.53546910755149,22.723112128146454
Kiribati,435,28.018620689655172,29.05,74.74022988505747,20.750114942528732
Central African Republic,436,27.936238532110092,60.05,70.71559633027523,6.198853211009174
Maldives,434,27.93110599078341,99.32000000000001,75.40552995391705,19.72995391705069
Burkina Faso,436,27.92775229357798,20.55,50.50688073394495,15.255504587155963
Togo,1,27.9,0.16,74.0,19.1
Saint-Vincent-et-les-Grenadines,1,27.8,0.13,82.0,27.0
PolÃ´nia,1,27.7,0.0,52.0,29.5
Mexique,1,27.4,0.0,72.0,15.1
Ghana,437,27.37070938215103,24.45,82.1304347826087,14.070251716247139
Solomon Islands,437,27.316247139588103,179.5,85.40732265446225,9.179176201372998
Saint Vincent and the Grenadines,436,27.279357798165137,58.3,77.37614678899082,26.06238532110092
Nigeria,437,27.226315789473684,55.3,66.69336384439359,7.103203661327231
Grenada,435,27.119080459770114,61.99,82.61149425287357,20.38919540229885
Saint Lucia,437,27.0649885583524,62.81,80.66590389016018,20.326773455377573
Barbados,436,27.029816513761467,54.7,80.19954128440367,24.24197247706422
Libya,1,27.0,0.0,74.0,31.7
Equatorial Guinea,437,26.99862700228833,162.63,86.97940503432494,7.960869565217392
Papua New Guinea,436,26.90756880733945,176.64,82.56192660550458,14.205963302752293
Vietnam,715,26.88909090909091,195.98,69.24615384615385,9.91146853146853
Gabon,436,26.863990825688074,82.99,83.30733944954129,9.691284403669725
Jamaica,435,26.815402298850575,31.720000000000002,77.7264367816092,6.890574712643678
